No,NameKo,NameJa,NameEn,CV,Gender,Age,ProductionOrUnit,Weight,Height,B,W,H,Hobby,Birthday,BloodType,HairStyle,AreaFrom,MediaFrom,
27,시부야 린,?谷凜,Rin Shibuya,후쿠하라 아야카,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
28,혼다 미오,本田未央,Mio Honda,하라 사유리,F,,346 프로덕션,,,,,,,,,,치바,The iDOLM@STER Cinderella Girls,
29,닛타 미나미,新田美波,Minami Nitta,스자키 아야,F,,346 프로덕션,,,,,,,,,,히로시마,The iDOLM@STER Cinderella Girls,
30,아나스타샤,アナスタシア,Anastasia,우에사카 스미레,F,,346 프로덕션,,,,,,,,,,홋카이도,The iDOLM@STER Cinderella Girls,
31,모로보시 키라리,諸星きらり,Kirari Moroboshi,마츠자키 레이,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
32,죠가사키 리카,城ヶ崎莉嘉,Rika Jougasaki,야마모토 노조미,F,,346 프로덕션,,,,,,,,,,사이타마,The iDOLM@STER Cinderella Girls,
33,아카기 미리아,赤城みりあ,Miria Akagi,쿠로사와 토모요,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
34,미무라 카나코,三村かな子,Kanaka Mimura,오오츠보 유카,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
35,오가타 치에리,?方智?里,Chieri Ogata,오오조라 나오미,F,,346 프로덕션,,,,,,,,,,미에,The iDOLM@STER Cinderella Girls,
36,후타바 안즈,?葉杏,Anzu Futaba,이가라시 히로미,F,,346 프로덕션,,,,,,,,,,홋카이도,The iDOLM@STER Cinderella Girls,
37,칸자키 란코,神崎蘭子,Ranko Kanzaki,우치다 마아야,F,,346 프로덕션,,,,,,,,,,쿠마모토,The iDOLM@STER Cinderella Girls,
38,마에카와 미쿠,前川みく,Miku Maekawa,타카모리 나츠미,F,,346 프로덕션,,,,,,,,,,오사카,The iDOLM@STER Cinderella Girls,
39,타다 리이나,多田李衣菜,Riina Tada,아오키 루리코,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
40,죠가사키 미카,城ヶ崎美嘉,Mika Jougasaki,요시무라 하루카,F,,346 프로덕션,,,,,,,,,,사이타마,The iDOLM@STER Cinderella Girls,
41,타카가키 카에데,高垣楓,Kaede Takagaki,하야미 사오리,F,,346 프로덕션,,,,,,,,,,와카야마,The iDOLM@STER Cinderella Girls,
42,카와시마 미즈키,川島瑞樹,Mizuki Kawashima,토야마 나오,F,,346 프로덕션,,,,,,,,,,오사카,The iDOLM@STER Cinderella Girls,
43,카타기리 사나에,片桐早苗,Sanae Katagiri,와키 아즈미,F,,346 프로덕션,,,,,,,,,,니가타,The iDOLM@STER Cinderella Girls,
44,호리 유코,堀裕子,Yuuko Hori,,F,,346 프로덕션,,,,,,,,,,후쿠이,The iDOLM@STER Cinderella Girls,
45,오이카와 시즈쿠,及川?,Shizuku Oikawa,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
46,시라사카 코우메,白坂小梅,Koume Shirasaka,오우사키 치요,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
47,호시 쇼코,星輝子,Shouko Hoshi,마츠다 사츠미,F,,346 프로덕션,,,,,,,,,,후쿠시마,The iDOLM@STER Cinderella Girls,
48,마츠나가 료,松永?,Ryou Matsunaga,치스가 하루카,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
49,키무라 나츠키,木村夏樹,Natsuki Kimura,야스노 키요노,F,,346 프로덕션,,,,,,,,,,이바라키,The iDOLM@STER Cinderella Girls,
50,이치하라 니나,市原仁奈,Nina Ichihara,쿠노 미사키,F,,346 프로덕션,,,,,,,,,,시즈오카,The iDOLM@STER Cinderella Girls,
51,호죠 카렌,北?加蓮,Karen Houjou,후치가미 미이,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
52,카미야 나오,神谷奈?,Nao Kamiya,마츠이 에리코,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
53,사기사와 후미카,鷺?文香,Fumika Sagisawa,M.A.O.,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
54,시오미 슈코,?見周子,Shuuko Shiomi,루 팅,F,,346 프로덕션,,,,,,,,,,교토,The iDOLM@STER Cinderella Girls,
55,미야모토 프레데리카,宮本フレデリカ,Frederica Miyamoto,,F,,346 프로덕션,,,,,,,,,,프랑스 파리,The iDOLM@STER Cinderella Girls,
56,타치바나 아리스,橘ありす,Arisu Tachibana,사토 아미나,F,,346 프로덕션,,,,,,,,,,효고,The iDOLM@STER Cinderella Girls,
57,오오츠키 유이,大槻唯,Yui Ohtsuki,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
58,하야미 카나데,速水奏,Kanade Hayami,,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
59,사쿠마 마유,佐久間まゆ,Mayu Sakuma,마키노 유이,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
60,이치노세 시키,一ノ?志希,Shiki Ichinose,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
61,아베 나나,安部菜?,Nana Abe,미야케 마리에,F,,346 프로덕션,,,,,,,,,,치바,The iDOLM@STER Cinderella Girls,
62,사쿠라이 모모카,櫻井桃華,Momoka Sakurai,테루이 하루카,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
63,류자키 카오루,龍崎?,Kaoru Ryuuzaki,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
64,히메카와 유키,?川友紀,Yuki Himekawa,모리노 마코,F,,346 프로덕션,,,,,,,,,,미야자키,The iDOLM@STER Cinderella Girls,
65,코바야카와 사에,小早川紗枝,Sae Kobayakawa,타치바나 리카,F,,346 프로덕션,,,,,,,,,,교토,The iDOLM@STER Cinderella Girls,
66,코시미즈 사치코,輿水幸子,Sachiko Koshimizu,타케타츠 아야나,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
67,타카모리 아이코,高森藍子,Aiko Takamori,카네코 유키,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
68,히노 아카네,日野?,Akane Hino,아카사키 치나츠,F,,346 프로덕션,,,,,,,,,,토치기,The iDOLM@STER Cinderella Girls,
69,무카이 타쿠미,向井拓海,Takumi Mukai,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
70,후지모토 리나,藤本里奈,Rina Fujimoto,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
71,나카노 유카,中野有香,Yuka Nakano,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
72,미즈모토 유카리,水本ゆかり,Yukari Mizumoto,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
73,시이나 노리코,椎名法子,Noriko Shiina,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
74,코히나타 미호,小日向美?,Miho Kohinata,츠다 미나미,F,,346 프로덕션,,,,,,,,,,쿠마모토,The iDOLM@STER Cinderella Girls,
75,도묘지 카린,道明寺歌鈴,Karin Doumyouji,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
76,니노미야 아스카,二宮飛鳥,Asuka Ninomiya,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
77,사사키 치에,佐?木千枝,Chie Sasaki,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
78,카미죠 하루나,上?春菜,Hanna Kamijou,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
79,야마토 아키,大和?季,Aki Yamato,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
80,와키야마 타마미,脇山珠美,Tamami Wakiyama,,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
81,남바 에미,灘波笑美,Emi Namba,,F,,346 프로덕션,,,,,,,,,,오사카,The iDOLM@STER Cinderella Girls,
82,아이바 유미,相葉タ美,Yumi Aiba,키무라 주리,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
83,우에다 스즈호,上田鈴帆,Suzuho Ueda,,F,,346 프로덕션,,,,,,,,,,후쿠오카,The iDOLM@STER Cinderella Girls,
84,토토키 아이리,十時愛梨,Airi Totoki,하라다 히토미,F,,346 프로덕션,,,,,,,,,,아키타,The iDOLM@STER Cinderella Girls,
85,하마구치 아야메,浜口あやめ,Ayame Hamaguchi,,F,,346 프로덕션,,,,,,,,,,미에,The iDOLM@STER Cinderella Girls,
86,나가토미 하스미,長富蓮?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
87,니와 히토미,丹羽仁美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
88,마나카 미사토,間中美里,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
89,마츠바라 사야,松原早耶,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
90,모모이 아즈키,桃井あずき,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
91,모치다 아리사,持田?里沙,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
92,무나카타 아츠미,棟方愛海,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
93,무라마츠 사쿠라,村松さくら,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
94,사이온지 코토카,西園寺琴歌,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
95,사카키바라 사토미,?原里美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
96,세키 히로미,?裕美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
97,스즈미야 세이카,?宮星花,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
98,시라기쿠 호타루,白菊ほたる,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
99,아리우라 칸나,有浦柑奈,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
100,아사노 후카,?野風香,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
101,아이하라 유키노,相原雪乃,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
102,아카니시 에리카,赤西瑛梨華,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
103,안자이 미야코,安?都,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
104,야나기 키요라,柳?良,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
105,야나세 미유키,柳?美由紀,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
106,야오 페이페이,楊菲菲,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
107,에가미 츠바키,江上椿,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
108,오오누마 쿠루미,大沼くるみ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
109,오오니시 유리코,大西由里子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
110,오오타 유우,太田優,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
111,오오하라 미치루,大原みちる,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
112,오쿠야마 사오리,?山沙織,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
113,오토쿠라 유우키,乙倉悠貴,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
114,요코야마 치카,?山千佳,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
115,유사 코즈에,遊佐こずえ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
116,이가라시 쿄코,五十嵐響子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
117,이마이 카나,今井加奈,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
118,이무라 세츠나,井村雪菜,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
119,이케부쿠로 아키하,池袋晶葉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
120,츠키미야 미야비,月宮雅,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
121,코가 코하루,古賀小春,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
122,쿠도 시노부,工藤忍,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
123,쿠리하라 네네,栗原ネネ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
124,쿠사카베 와카바,日下部若葉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
125,클라리스,クラリス,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
126,하라다 미요,原田美世,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
127,하야사카 미레이,早坂美玲,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
128,효도 레나,兵藤レナ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
129,후쿠야마 마이,福山舞,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
130,류해나,-,,-,F,,346 프로덕션,,,,,,,,,,한국 강원도 홍천,The iDOLM@STER Cinderella Girls,
131,나루미야 우메,成宮由愛,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
132,니시카와 호나미,西川保奈美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
133,라이라,ライラ,,-,F,,346 프로덕션,,,,,,,,,,아랍에미리트 두바이,The iDOLM@STER Cinderella Girls,
134,마츠모토 사리나,松本沙理奈,,-,F,,346 프로덕션,,,,,,,,,,도쿄,The iDOLM@STER Cinderella Girls,
135,마츠오 치즈루,松尾千鶴,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
136,모리쿠보 노노,森久保乃?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
137,모치즈키 히지리,望月聖,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
138,미즈노 미도리,水野翠,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
139,미즈키 세이라,水木聖?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
140,미후네 미유,美船美優,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
141,사죠 유키미,佐城雪美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
142,세나 시오리,?名詩織,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
143,시노하라 레이,篠原?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
144,아라키 히나,荒木比奈,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
145,아사리 나나미,?利七海,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
146,아야세 호노카,綾??乃香,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
147,아이카와 치나츠,相川千夏,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
148,야가미 마키노,八神マキノ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
149,오오이시 이즈미,大石泉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
150,오카자키 야스하,岡崎泰葉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
151,와쿠이 루미,和久井留美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
152,요시오카 사키,吉岡沙紀,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
153,우메키 오토하,梅木音葉,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
154,우지이에 무츠미,氏家むつみ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
155,유우키 하루,結城晴,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
156,이쥬인 메구미,伊集院?,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
157,케이트,ケイト,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
158,코무로 치나미,小室千奈美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
159,쿠로카와 치아키,?川千秋,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
160,키류 츠카사,桐生つかさ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
161,키리노 아야,桐野アヤ,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
162,키바 마나미,木場?奈美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
163,키시베 아야카,岸部彩華,,-,F,,346 프로덕션,,,,,,,,,,사이타마,The iDOLM@STER Cinderella Girls,
164,타카미네 노아,高峯のあ,,-,F,,346 프로덕션,,,,,,,,,,나라,The iDOLM@STER Cinderella Girls,
165,타카하시 레이코,高橋?子,,-,F,,346 프로덕션,,,,,,,,,,카나가와,The iDOLM@STER Cinderella Girls,
166,타카후지 카코,鷹富士茄子,,-,F,,346 프로덕션,,,,,,,,,,시마네,The iDOLM@STER Cinderella Girls,
167,토고 아이,東?あい,,-,F,,346 프로덕션,,,,,,,,,,후쿠시마,The iDOLM@STER Cinderella Girls,
168,핫토리 토코,服部瞳子,,-,F,,346 프로덕션,,,,,,,,,,오이타,The iDOLM@STER Cinderella Girls,
169,헬렌,ヘレン,,-,F,,346 프로덕션,,,,,,,,,,-,The iDOLM@STER Cinderella Girls,
170,후루사와 요리코,古澤?子,,-,F,,346 프로덕션,,,,,,,,,,이바라키,The iDOLM@STER Cinderella Girls,
171,후지와라 하지메,藤原肇,,-,F,,346 프로덕션,,,,,,,,,,오카야마,The iDOLM@STER Cinderella Girls,
172,후지이 토모,藤居朋,,-,F,,346 프로덕션,,,,,,,,,,사가,The iDOLM@STER Cinderella Girls,
173,히이라기 시노,?志乃,,-,F,,346 프로덕션,,,,,,,,,,야마나시,The iDOLM@STER Cinderella Girls,
174,주니,-,,-,F,,346 프로덕션,,,,,,,,,,미국 시애틀,The iDOLM@STER Cinderella Girls,
175,나미키 메이코,?木芽衣子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
176,나탈리아,ナタリア,,-,F,,346 프로덕션,,,,,,,,,,브라질 리우데자네이루,The iDOLM@STER Cinderella Girls,
177,난죠 히카루,南?光,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
178,노노무라 소라,野?村そら,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
179,니시지마 카이,西島櫂,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
180,마나베 이츠키,?鍋いつき,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
181,마츠야마 쿠미코,松山久美子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
182,마키하라 시호,?原志保,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
183,마토바 리사,的場梨沙,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
184,메어리 코크란,メアリ??コクラン,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
185,무라카미 토모에,村上巴,,-,F,,346 프로덕션,,,,,,,,,,히로시마,The iDOLM@STER Cinderella Girls,
186,미요시 사나,三好紗南,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
187,사에지마 키요미,?島?美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
188,사와다 마리나,?田麻理采,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
189,사이토 요코,?藤洋子,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
190,사토 신,佐藤心,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
191,센자키 에마,仙崎?磨,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
192,소마 나츠미,相馬夏美,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
193,슈토 아오이,首藤葵,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
194,스기사카 우미,杉坂海,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
195,아이노 나기사,愛野渚,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
196,야구치 미우,矢ロ美羽,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
197,에비하라 나오,海老原菜帆,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
198,에토 미사키,衛藤美紗希,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
199,와카바야시 토모카,若林智香,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
200,요리타 요시노,依田芳乃,,-,F,,346 프로덕션,,,,,,,,,,,The iDOLM@STER Cinderella Girls,
201,이브 산타클로스,イブ?サンタクロ?ス,,-,F,,346 프로덕션,,,,,,,,,,그린란드,The iDOLM@STER Cinderella Girls,
202,자이젠 토키코,財前時子,,-,F,,346 프로덕션,,,,,,,,,,아이치 현 나고야,The iDOLM@STER Cinderella Girls,
203,츠치야 아코,土屋?子,,-,F,,346 프로덕션,,,,,,,,,,시즈오카,The iDOLM@STER Cinderella Girls,
204,캐시 그라함,キャシ??グラ?ハ?ム,,-,F,,346 프로덕션,,,,,,,,,,미국 뉴욕,The iDOLM@STER Cinderella Girls,
205,코마츠 이부키,小松伊吹,,-,F,,346 프로덕션,,,,,,,,,,이바라키,The iDOLM@STER Cinderella Girls,
206,코세키 레이나,小?麗奈,,-,F,,346 프로덕션,,,,,,,,,,야마가타,The iDOLM@STER Cinderella Girls,
